"","term","freq"
"isis","isis",3517
"amp","amp",320
"killed","killed",251
"afghanistan","afghanistan",195
"via","via",194
"obama","obama",194
"leader","leader",178
"syria","syria",161
"will","will",158
"accounts","accounts",154
"targets","targets",148
"targeted","targeted",147
"iceisis","iceisis",146
"opiceisis","opiceisis",146
"top","top",137
"realdonaldtrump","realdonaldtrump",135
"christians","christians",131
"forces","forces",121
"people","people",113
"btstwt","btstwt",107
"terror","terror",105
"support","support",105
"iran","iran",103
"muslims","muslims",99
"cnn","cnn",96
"islamic","islamic",95
"iraq","iraq",95
"social","social",95
"islam","islam",94
"raid","raid",93
"trump","trump",92
"dont","dont",89
"killing","killing",87
"btsbbmas","btsbbmas",86
"artist","artist",84
"kill","kill",83
"afghan","afghan",82
"slaughtering","slaughtering",82
"muslim","muslim",81
"vote","vote",81
"im","im",80
"terrorist","terrorist",80
"news","news",80
"special","special",79
"head","head",78
"sami","sami",77
"official","official",75
"abc","abc",72
"fbi","fbi",71
"military","military",70
"war","war",70
"mosul","mosul",69
"flynn","flynn",68
"video","video",67
"whitehouse","whitehouse",66
"cbsnews","cbsnews",65
"newsweek","newsweek",65
"putinrfeng","putinrfeng",64
"zayn","zayn",63
"dhs","dhs",63
"attacks","attacks",63
"governmentrf","governmentrf",63
"nbcnightlynews","nbcnightlynews",63
"love","love",63
"state","state",62
"army","army",62
"jbl","jbl",62
"dinner","dinner",61
"fight","fight",61
"captured","captured",60
"libya","libya",58
"attack","attack",58
"russian","russian",57
"twitter","twitter",56
"defeat","defeat",54
"russia","russia",53
"police","police",51
"daesh","daesh",51
"report","report",50
"want","want",50
"boom","boom",50
"ctrlsec","ctrlsec",50
"refugee","refugee",49
"terrorists","terrorists",49
"google","google",49
"victims","victims",49
"fighters","fighters",47
"agendaofevil","agendaofevil",47
"adviser","adviser",47
"san","san",46
"time","time",46
"isiswhitehead","isiswhitehead",46
"propaganda","propaganda",45
"seize","seize",45
"france","france",45
"bernardino","bernardino",45
"good","good",44
"media","media",44
"award","award",44
"women","women",43
"plan","plan",42
"alqaeda","alqaeda",41
"israel","israel",41
"terrorism","terrorism",41
"twittersafety","twittersafety",41
"taliban","taliban",40
"fighting","fighting",40
"iraqi","iraqi",40
"egyptian","egyptian",40
"man","man",40
"confirms","confirms",40
"potus","potus",39
"opisis","opisis",39
"made","made",39
"cia","cia",39
"online","online",39
"christian","christian",38
"day","day",38
"mayam","mayam",38
"egypt","egypt",38
"death","death",38
"family","family",38
"america","america",37
"breaking","breaking",37
"white","white",37
"life","life",37
"make","make",37
"camp","camp",37
"youre","youre",37
"roots","roots",36
"operation","operation",36
"w","w",36
"isil","isil",36
"members","members",36
"world","world",36
"families","families",36
"join","join",35
"pentagon","pentagon",35
"militants","militants",35
"massacre","massacre",35
"destroy","destroy",34
"security","security",34
"blackisis","blackisis",34
"coalition","coalition",34
"abdul","abdul",34
"exobama","exobama",34
"watch","watch",34
"well","well",33
"money","money",33
"guy","guy",33
"years","years",33
"free","free",33
"back","back",32
"didnt","didnt",32
"home","home",32
"foxnews","foxnews",32
"stop","stop",31
"arrested","arrested",31
"tabqa","tabqa",31
"threat","threat",31
"usa","usa",31
"sue","sue",31
"pakistan","pakistan",30
"assad","assad",30
"syrian","syrian",30
"west","west",30
"isnt","isnt",30
"infiltrated","infiltrated",30
"al","al",30
"id","id",29
"europe","europe",29
"confirmed","confirmed",29
"dead","dead",29
"fake","fake",29
"american","american",29
"fly","fly",29
"left","left",29
"work","work",28
"tons","tons",28
"flag","flag",28
"real","real",28
"antifa","antifa",28
"caliphate","caliphate",28
"wont","wont",28
"shit","shit",28
"inxsys","inxsys",28
"kittylerspeare","kittylerspeare",28
"murmurz","murmurz",28
"hasib","hasib",27
"wanted","wanted",27
"rangers","rangers",27
"coming","coming",27
"bomb","bomb",27
"dc","dc",26
"kiranb","kiranb",26
"created","created",26
"country","country",26
"uk","uk",26
"east","east",26
"campaign","campaign",26
"islamicstate","islamicstate",26
"countries","countries",26
"told","told",26
"account","account",26
"turkeydeeply","turkeydeeply",26
"ranks","ranks",25
"allah","allah",25
"guys","guys",25
"drugs","drugs",25
"italian","italian",25
"way","way",25
"thing","thing",25
"theyre","theyre",25
"canadianprotest","canadianprotest",25
"raqqa","raqqa",24
"son","son",24
"hed","hed",24
"alicegoldfuss","alicegoldfuss",24
"targeting","targeting",24
"lure","lure",24
"destroyed","destroyed",24
"funded","funded",24
"national","national",24
"called","called",24
"chief","chief",24
"start","start",24
"spy","spy",24
"group","group",24
"merrily","merrily",24
"latest","latest",24
"daily","daily",24
"hes","hes",24
"eto","eto",24
"list","list",23
"huge","huge",23
"groups","groups",23
"obamas","obamas",23
"clinton","clinton",23
"denmark","denmark",23
"rise","rise",23
"air","air",23
"wants","wants",23
"whatever","whatever",23
"rss","rss",23
"cashing","cashing",23
"maga","maga",23
"youtube","youtube",23
"beheads","beheads",22
"drone","drone",22
"foreign","foreign",22
"amymek","amymek",22
"civilians","civilians",22
"acc","acc",22
"doesnt","doesnt",22
"died","died",22
"sympathizer","sympathizer",22
"ass","ass",22
"fuck","fuck",22
"gun","gun",22
"jihadists","jihadists",22
"children","children",22
"april","april",22
"mother","mother",22
"cgshort","cgshort",22
"swblues","swblues",22
"claims","claims",21
"shows","shows",21
"fsa","fsa",21
"turkey","turkey",21
"grepory","grepory",21
"hillary","hillary",21
"bad","bad",21
"london","london",21
"ppl","ppl",21
"call","call",21
"wife","wife",21
"today","today",21
"story","story",21
"days","days",21
"himaui","himaui",21
"sdf","sdf",20
"british","british",20
"border","border",20
"americans","americans",20
"hamas","hamas",20
"states","states",20
"tmobilehelp","tmobilehelp",20
"magazine","magazine",20
"fucking","fucking",20
"india","india",20
"ak","ak",20
"job","job",20
"hell","hell",20
"give","give",20
"videos","videos",20
"sally","sally",19
"full","full",19
"president","president",19
"face","face",19
"fact","fact",19
"god","god",19
"tells","tells",19
"antiisis","antiisis",19
"tmobile","tmobile",19
"designed","designed",19
"threatens","threatens",19
"commander","commander",19
"egypts","egypts",19
"boy","boy",19
"recruiters","recruiters",19
"offensive","offensive",19
"execution","execution",18
"suicide","suicide",18
"regime","regime",18
"showing","showing",18
"wonder","wonder",18
"makes","makes",18
"released","released",18
"talking","talking",18
"daraa","daraa",18
"child","child",18
"base","base",18
"suspend","suspend",18
"follow","follow",18
"moab","moab",18
"lol","lol",18
"happened","happened",18
"yeah","yeah",18
"bringittothetable","bringittothetable",18
"dailycaller","dailycaller",17
"ht","ht",17
"calls","calls",17
"trapped","trapped",17
"lets","lets",17
"qaeda","qaeda",17
"race","race",17
"government","government",17
"saudi","saudi",17
"read","read",17
"macron","macron",17
"anti","anti",17
"force","force",17
"buying","buying",17
"ypg","ypg",16
"show","show",16
"noreen","noreen",16
"organization","organization",16
"zlando","zlando",16
"general","general",16
"wasnt","wasnt",16
"big","big",16
"saa","saa",16
"suspicion","suspicion",16
"south","south",16
"talk","talk",16
"qatar","qatar",16
"supports","supports",16
"french","french",16
"playing","playing",16
"wikileaks","wikileaks",16
"warns","warns",16
"middle","middle",16
"gonna","gonna",16
"expert","expert",16
"minister","minister",16
